id,名称,别名(释名),气味,主治,附方,生长,考释
193,陆英,,味苦寒,主治骨间诸痹，四肢拘挛疼酸，膝寒痛，阴痿，短气不足，脚肿,,川谷,
194,藎草,,味苦平,主治久咳上气，喘逆久寒，惊悸，痂疥，白秃，疡气，杀皮肤小虫,,川谷,
195,夏枯草,夕句/乃东,味苦辛寒,主治寒热瘰疬，鼠瘘头疮，破癥，散瘿结气，脚肿湿痹。轻身,,川谷,
196,乌韭,,味甘寒,主治皮肤往来寒热，利小肠，膀胱气,,山谷,
197,蚤休,螫休,味苦微寒,主治惊痫摇头弄舌，热气在腹中，癫疾，痈疮阴蚀，下三虫，去蛇毒,,川谷,
198,石长生,丹草,味咸微寒,主治寒热恶疮大热，辟鬼气不祥,,山谷,
199,狼毒,续毒,味辛平,主治咳逆上气，破积聚饮食，寒热水气，恶疮鼠瘘疽蚀，鬼精蛊毒，杀飞鸟走兽,,山谷,
200,鬼臼,爵犀/马目毒公/九臼,味辛温,主杀蛊毒鬼注精物，辟恶气不祥，逐邪解百毒,,山谷,
201,扁蓄,,味苦平,主治浸淫疥瘙疽痔，杀三虫,,山谷,
202,商陆,芴根/夜呼,味辛平,主治水胀，疝瘕痹，熨除痈肿。杀鬼精物,,川谷,
203,女青,雀瓢,味辛平,主治蛊毒，逐邪恶气，杀鬼温疟，辟不祥,,山谷,
204,白附子,,,主治心痛血痹，面上百病，行药势,,蜀郡,
205,姑活,冬葵子,味甘温,主治大风邪气，湿痹寒痛。九服轻身益寿耐老,,川泽,
206,别羁,,味苦微温,主治风寒湿痹，身重，四肢疼酸寒邪历节痛,,川谷,
207,石下长卿,徐长卿,味咸平,主治鬼注精物，邪恶气，杀百精蛊毒，老魅注易，亡走啼哭，悲伤恍惚,,池泽,
208,翘根,,味苦寒,主治下热气，益阴精，令人面悦好，明目。久服轻身耐老,,平泽,
209,屈草,,味苦,主治胸胁下痛，邪气，肠间寒热，阴痹。久服轻身益气耐老,,川泽,
210,茯苓,伏兔,味甘平,主治胸胁逆气，忧恚惊恐，心下结痛，寒热烦满咳逆，口焦舌干，利小便。久服安魂养神，不饥延年,,山谷,
211,松脂,松膏/松肪,味苦温,主治痈疽恶疮，头疡白秃，疥瘙风气，安五脏，除热。久服轻身延年,,山谷,
212,柏实,,味甘平,主治惊悸，安五脏，益气，除风湿痹。久服令人润泽美色，耳目聪明，不饥不老，轻身延年,,山谷,
213,箘桂,,味辛温,主治百病，养精神，和颜色，为诸药先娉通使。久服輕身不老，面生光华，媚好常如童子,,交止山谷,
214,牡桂,,味辛温,主治上气咳逆，结气，喉痹吐吸，利关节，补中益气。久服通神，轻身不老,,山谷,
215,杜仲,思仙,味辛平,主治腰膝痛，补中，益精气，坚筋骨，强志，除阴下痒湿，小便余沥。久服轻身耐老,,山谷,
216,蔓荆实,,味苦微寒,主治筋骨间寒热，湿痹拘挛，明目坚齿，利九窍，去白虫。久服轻身耐老。小荆实亦等,,,
217,女贞实,,味苦平,主补中安五脏，养精神，除百疾。久服肥健，轻身，不老,,川谷,
218,桑上寄生,寄屑/寓木/宛童,味苦平,主治腰痛，小儿背强，痈肿，安胎，充肌肤，坚齿发，长须眉。其实，明目，轻身，通神,,山谷,
219,苏核,,味甘平无毒,主治心腹邪结气，明目，目赤痛伤泪出。久服轻身，益气，不饥,,川谷,
